Days,Survival,Genotype,Virus,TechRep,BiolRep
3,1,WT,DCV,A,1
3,1,WT,DCV,A,1
5,1,WT,DCV,A,1
5,1,WT,DCV,A,1
5,1,WT,DCV,A,1
5,1,WT,DCV,A,1
5,1,WT,DCV,A,1
5,1,WT,DCV,A,1
5,1,WT,DCV,A,1
5,1,WT,DCV,A,1
6,1,WT,DCV,A,1
6,1,WT,DCV,A,1
6,1,WT,DCV,A,1
6,1,WT,DCV,A,1
3,1,WT,DCV,B,1
4,1,WT,DCV,B,1
5,1,WT,DCV,B,1
5,1,WT,DCV,B,1
5,1,WT,DCV,B,1
6,1,WT,DCV,B,1
6,1,WT,DCV,B,1
6,1,WT,DCV,B,1
6,1,WT,DCV,B,1
6,1,WT,DCV,B,1
6,1,WT,DCV,B,1
6,1,WT,DCV,B,1
6,1,WT,DCV,B,1
6,1,m33-KO,DCV,C,1
6,1,m33-KO,DCV,C,1
6,1,m33-KO,DCV,C,1
7,1,m33-KO,DCV,C,1
7,1,m33-KO,DCV,C,1
7,1,m33-KO,DCV,C,1
8,1,m33-KO,DCV,C,1
9,1,m33-KO,DCV,C,1
9,1,m33-KO,DCV,C,1
10,1,m33-KO,DCV,C,1
12,1,m33-KO,DCV,C,1
12,1,m33-KO,DCV,C,1
12,1,m33-KO,DCV,C,1
13,1,m33-KO,DCV,C,1
2,1,m33-KO,DCV,D,1
2,1,m33-KO,DCV,D,1
3,1,m33-KO,DCV,D,1
3,1,m33-KO,DCV,D,1
3,1,m33-KO,DCV,D,1
6,1,m33-KO,DCV,D,1
6,1,m33-KO,DCV,D,1
8,1,m33-KO,DCV,D,1
10,1,m33-KO,DCV,D,1
11,1,m33-KO,DCV,D,1
11,1,m33-KO,DCV,D,1
11,1,m33-KO,DCV,D,1
12,1,m33-KO,DCV,D,1
12,1,m33-KO,DCV,D,1
12,1,m33-KO,DCV,D,1
5,1,WT,FHV,E,1
6,1,WT,FHV,E,1
6,1,WT,FHV,E,1
6,1,WT,FHV,E,1
6,1,WT,FHV,E,1
6,1,WT,FHV,E,1
6,1,WT,FHV,E,1
7,1,WT,FHV,E,1
7,1,WT,FHV,E,1
7,1,WT,FHV,E,1
8,1,WT,FHV,E,1
8,1,WT,FHV,E,1
6,1,WT,FHV,F,1
6,1,WT,FHV,F,1
6,1,WT,FHV,F,1
6,1,WT,FHV,F,1
7,1,WT,FHV,F,1
7,1,WT,FHV,F,1
7,1,WT,FHV,F,1
7,1,WT,FHV,F,1
7,1,WT,FHV,F,1
7,1,WT,FHV,F,1
8,1,WT,FHV,F,1
6,1,m33-KO,FHV,G,1
6,1,m33-KO,FHV,G,1
6,1,m33-KO,FHV,G,1
6,1,m33-KO,FHV,G,1
